rate=1Mbps
payload_length=127
chirp_index=0
output_width=6
sample_index,tx_real_signed,tx_imag_signed,tx_valid,tx_done,fifo_overflow
919,-9,19,1,0,0
920,13,17,1,0,0
921,21,-3,1,0,0
922,7,-19,1,0,0
923,-13,-15,1,0,0
924,-21,3,1,0,0
925,-12,18,1,0,0
926,6,22,1,0,0
927,19,11,1,0,0
928,21,-5,1,0,0
929,11,-17,1,0,0
930,-4,-20,1,0,0
931,-15,-15,1,0,0
932,-21,-3,1,0,0
933,-20,8,1,0,0
934,-13,17,1,0,0
935,-5,21,1,0,0
936,4,22,1,0,0
937,11,19,1,0,0
938,16,14,1,0,0
939,19,9,1,0,0
940,21,5,1,0,0
941,21,1,1,0,0
942,21,-3,1,0,0
943,20,-4,1,0,0
944,18,-4,1,0,0
945,14,-4,1,0,0
946,11,-3,1,0,0
947,7,-1,1,0,0
948,3,1,1,0,0
949,1,1,1,0,0
950,0,0,1,0,0
951,1,1,1,0,0
952,3,1,1,0,0
953,7,-1,1,0,0
954,11,-3,1,0,0
955,14,-4,1,0,0
956,18,-4,1,0,0
957,20,-4,1,0,0
958,21,-3,1,0,0
959,21,1,1,0,0
960,21,5,1,0,0
961,19,9,1,0,0
962,16,14,1,0,0
963,11,19,1,0,0
964,4,22,1,0,0
965,-5,21,1,0,0
966,-13,17,1,0,0
967,-20,8,1,0,0
968,-21,-3,1,0,0
969,-15,-15,1,0,0
970,-4,-20,1,0,0
971,11,-17,1,0,0
972,21,-5,1,0,0
973,19,11,1,0,0
974,6,22,1,0,0
975,-12,18,1,0,0
976,-21,3,1,0,0
977,-13,-15,1,0,0
978,7,-19,1,0,0
979,21,-3,1,0,0
980,13,17,1,0,0
981,-9,19,1,0,0
982,-18,0,1,0,0
983,-4,-14,1,0,0
984,9,-5,1,0,0
985,6,6,1,0,0
986,-2,4,1,0,0
987,-1,1,1,0,0
988,0,0,1,0,0
989,0,0,1,0,0
990,3,-1,1,0,0
991,5,7,1,0,0
992,-6,10,1,0,0
993,-15,-3,1,0,0
994,-1,-17,1,0,0
995,18,-8,1,0,0
996,16,14,1,0,0
997,-4,22,1,0,0
998,-20,8,1,0,0
999,-16,-12,1,0,0
1000,2,-20,1,0,0
1001,17,-11,1,0,0
1002,21,7,1,0,0
1003,10,20,1,0,0
1004,-6,22,1,0,0
1005,-18,12,1,0,0
1006,-21,-3,1,0,0
1007,-15,-15,1,0,0
1008,-4,-20,1,0,0
1009,7,-19,1,0,0
1010,16,-12,1,0,0
1011,20,-4,1,0,0
1012,21,5,1,0,0
1013,18,12,1,0,0
1014,13,17,1,0,0
1015,8,20,1,0,0
1016,4,22,1,0,0
1017,0,22,1,0,0
1018,-4,22,1,0,0
1019,-5,21,1,0,0
1020,-5,19,1,0,0
1021,-5,15,1,0,0
1022,-4,12,1,0,0
1023,-2,8,1,0,0
1024,0,4,1,0,0
1025,0,2,1,0,0
1026,0,0,1,0,0
1027,0,2,1,0,0
1028,0,4,1,0,0
1029,-2,8,1,0,0
1030,-4,12,1,0,0
1031,-5,15,1,0,0
1032,-5,19,1,0,0
1033,-5,21,1,0,0
1034,-4,22,1,0,0
1035,0,22,1,0,0
1036,4,22,1,0,0
1037,8,20,1,0,0
1038,13,17,1,0,0
1039,18,12,1,0,0
1040,21,5,1,0,0
1041,20,-4,1,0,0
1042,16,-12,1,0,0
1043,7,-19,1,0,0
1044,-4,-20,1,0,0
1045,-15,-15,1,0,0
1046,-21,-3,1,0,0
1047,-18,12,1,0,0
1048,-6,22,1,0,0
1049,10,20,1,0,0
1050,21,7,1,0,0
1051,17,-11,1,0,0
1052,2,-20,1,0,0
1053,-16,-12,1,0,0
1054,-20,8,1,0,0
1055,-4,22,1,0,0
1056,16,14,1,0,0
